feature,gain
u_behav_4_7d,353.64394187927246
i_behav_2_28d,344.0924406051636
u_behav_3_2d,341.7677707672119
c_buy_user_ratio_1d,341.12346172332764
uc_weighted_14d,340.6689176559448
i_behav_3_2d,340.404203414917
i_behav_3_21d,340.26305961608887
ic_buy_norm_inv_rank_2d,339.9091987609863
uc_behav_1_4d,336.13636302948
u_behav_4_4d,333.6195011138916
ui_norm_inv_rank_in_uc_14d,332.77759742736816
ui_behav_2_7d,323.4155626296997
ui_norm_inv_rank_in_uc_7d,322.7559013366699
ic_buy_norm_inv_rank_14d,317.77864170074463
u_behav_2_2d,314.41321849823
c_behav_1_1d,310.7430648803711
ui_behav_1_7d,304.28130531311035
uc_active_days_7d,300.3486909866333
ui_norm_inv_rank_in_uc_4d,299.3105001449585
i_interact_users_4d,295.2488489151001
uc_item_nuniq_1d,292.54640007019043
c_behav_4_4d,291.9219570159912
uc_behav_1_7d,291.62985706329346
i_behav_1_14d,289.4863042831421
ui_behav_1_14d,287.7256565093994
ui_uc_weighted_ratio_21d,282.15410232543945
ui_behav_1_28d,280.3099727630615
uc_item_nuniq_21d,274.60990047454834
u_behav_4_2d,269.3298797607422
ui_behav_1_21d,267.2469825744629
c_buy_users_1d,266.7134199142456
i_behav_3_7d,265.61599922180176
uc_active_days_14d,263.2749500274658
i_interact_users_28d,262.57400035858154
u_active_days_14d,259.11879539489746
ic_buy_norm_inv_rank_21d,257.2069978713989
u_buy_days_4d,253.2214012145996
uc_behav_4_21d,249.30669975280762
u_behav_2_4d,246.21900177001953
uc_behav_1_2d,239.15819835662842
i_buy_users_1d,237.89959526062012
ic_buy_norm_inv_rank_7d,233.16260433197021
uc_item_nuniq_28d,232.91169929504395
uc_behav_1_14d,231.86941146850586
ic_buy_norm_inv_rank_4d,231.48280334472656
u_active_days_4d,227.0454969406128
c_buy_user_ratio_14d,226.99609851837158
i_interact_users_7d,225.26299953460693
u_buy_days_7d,225.22789859771729
uc_weighted_21d,221.73565769195557
uc_behav_1_21d,221.64588928222656
uc_weighted_1d,220.06688976287842
ui_cart_in_normal,219.49000549316406
ui_norm_inv_rank_in_uc_21d,218.9138011932373
uc_weighted_2d,214.78359699249268
ui_norm_inv_rank_in_uc_28d,211.72232055664062
ui_behav_4_14d,209.5855007171631
c_interact_users_1d,208.52630043029785
ui_active_days_4d,206.97910404205322
ui_active_days_7d,205.50930404663086
ui_behav_4_21d,203.22822284698486
i_behav_4_14d,201.85728931427002
c_behav_4_1d,200.35479259490967
ui_weighted_4d,197.23190021514893
uc_item_nuniq_7d,196.84884071350098
i_behav_1_2d,196.55952835083008
c_behav_4_2d,194.7943000793457
c_behav_2_1d,188.4386100769043
i_behav_1_28d,186.50237941741943
i_buy_users_2d,184.40350151062012
c_behav_2_14d,183.2725954055786
i_behav_1_21d,181.95962619781494
c_interact_users_21d,172.28551387786865
u_buy_days_2d,169.49459838867188
i_buy_users_14d,165.86599731445312
c_behav_2_7d,164.86949825286865
c_behav_3_2d,157.56019973754883
c_behav_3_1d,153.8895025253296
i_behav_1_7d,153.75470066070557
u_active_days_7d,147.78549766540527
i_behav_2_14d,146.62997722625732
u_behav_2_1d,145.8428201675415
i_behav_3_4d,142.99207973480225
i_behav_2_21d,139.59279918670654
c_behav_2_4d,138.33960151672363
u_behav_4_1d,136.2288179397583
c_behav_1_2d,135.57759857177734
uc_behav_3_2d,134.81169891357422
uc_behav_3_21d,132.53963994979858
c_behav_1_28d,130.5934019088745
c_behav_3_28d,128.69869995117188
i_behav_4_2d,126.85240173339844
i_interact_users_1d,123.53033065795898
i_interact_users_14d,122.84689712524414
c_buy_users_2d,121.71668815612793
i_behav_2_7d,121.02817153930664
c_behav_2_2d,119.8861312866211
c_interact_users_14d,119.54450035095215
ui_behav_3_7d,118.44440078735352
uc_active_days_2d,117.1343994140625
c_behav_1_7d,116.81959056854248
ui_active_days_14d,116.6307020187378
uc_item_nuniq_14d,115.60449981689453
c_interact_users_4d,114.18479919433594
i_buy_users_7d,113.82220077514648
c_behav_4_14d,112.80349922180176
uc_behav_3_4d,111.92239952087402
i_behav_4_4d,111.51409912109375
c_behav_3_7d,107.77739906311035
i_interact_users_2d,104.81130123138428
c_behav_4_28d,96.95600128173828
c_interacted_items_2d,96.86240196228027
uc_behav_3_28d,93.76085948944092
c_buy_user_ratio_7d,93.04150199890137
uc_behav_3_14d,90.64540195465088
c_behav_2_21d,87.7573013305664
ui_behav_3_14d,82.16388893127441
uc_behav_3_1d,78.45378017425537
i_behav_2_1d,77.95689105987549
c_behav_3_4d,76.87566947937012
uc_behav_2_28d,73.09060096740723
c_buy_users_14d,71.67990112304688
uc_behav_2_21d,69.03876209259033
i_behav_4_7d,68.97830009460449
ui_active_days_21d,68.11809921264648
uc_behav_3_7d,65.42203044891357
ui_active_days_1d,65.29920196533203
i_behav_1_4d,64.3063907623291
c_behav_1_21d,64.17189979553223
i_behav_2_4d,62.76580047607422
c_behav_4_7d,61.810380935668945
c_interact_users_2d,59.65590000152588
i_behav_2_2d,59.62100028991699
c_behav_4_21d,54.3164005279541
uc_behav_2_1d,54.010398864746094
c_behav_3_14d,53.83660125732422
c_behav_1_4d,51.966501235961914
c_behav_3_21d,51.67032051086426
uc_behav_2_7d,49.589799880981445
c_interacted_items_4d,39.75419998168945
